term,tagging_id,frequency_in_corpus,family,genus,species
abandon,4002,1604,adventure,adventuring/the-lonely-grave,adventure-site/ruins
aboard,4057,371,adventure,adventuring/transport,vehicle
accomplishment,1974,219,adventure,hook/epic-saga,narrative/epic
achievement,1973,172,adventure,hook/epic-saga,narrative/epic
across,6306,5215,adventure,adventure/navigation,spatial/prepositions
acute,5635,160,adventure,the-human-body/senses,senses-perception
ahead,6302,1024,adventure,adventure/navigation,spatial/prepositions
airship,4053,399,adventure,adventuring/transport,vehicle
along,6304,5145,adventure,adventure/navigation,spatial/prepositions
amid,4014,456,adventure,adventuring/the-lonely-grave,adventure-site/ruins
among,6284,6039,adventure,adventure/navigation,spatial/prepositions
ancient,3983,6114,adventure,adventuring/the-lonely-grave,adventure-site/ruins
apart,6287,1198,adventure,adventure/navigation,spatial/prepositions
arc,6248,951,adventure,the-human-body/senses,topology
around,6305,9421,adventure,adventure/navigation,spatial/prepositions
arrive,5795,1604,adventure,action/quest-verbs,verb/quests/search
ascension,1961,107,adventure,hook/epic-saga,narrative/epic
aside,6288,994,adventure,adventure/navigation,spatial/prepositions
asleep,2598,255,adventure,adventure/navigation,disabled
atop,6282,947,adventure,adventuring/the-lonely-grave,spatial/prepositions
away,6290,7339,adventure,adventure/navigation,spatial/prepositions
back,6292,10140,adventure,adventure/navigation,spatial/prepositions
barge,2334,173,adventure,adventuring/transport,sailing
barrow,915,120,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
bay,4059,663,adventure,adventuring/transport,vehicle
behind,6298,3807,adventure,adventure/navigation,spatial/prepositions
beneath,6281,2056,adventure,adventuring/the-lonely-grave,spatial/prepositions
betrayal,1970,297,adventure,hook/epic-saga,narrative/epic
between,6279,9265,adventure,adventure/navigation,spatial/prepositions
beyond,6283,4270,adventure,level-up,spatial/prepositions
blessing,5191,886,adventure,hook/epic-saga,narrative/epic
boat,4064,1131,adventure,adventuring/transport,vehicle
boom,2719,258,adventure,the-human-body/senses,sense-perception/noise
boon,5192,828,adventure,hook/epic-saga,narrative/epic
bottom,6247,934,adventure,adventuring/mazes-and-traps,topology
bound,3998,1798,adventure,magic,adventure-site/ruins
break,1001,4123,adventure,adventuring/verbs,verb/action
breeze,2711,208,adventure,the-human-body/senses,sense-perception/noise
bring,5837,3656,adventure,adventuring/verbs,verb/quests
brings,5814,737,adventure,adventuring/verbs,verb/quests
broke,5825,422,adventure,adventuring/verbs,verb/quests
broken,3991,2604,adventure,adventuring/verbs,adventure-site/ruins
brought,5838,1670,adventure,adventuring/verbs,verb/quests
burial,4019,235,adventure,adventuring/the-lonely-grave,adventure-site/ruins
burrow,1023,503,adventure,adventuring/verbs,verb/downward-motion
bury,3986,988,adventure,adventuring/the-lonely-grave,adventure-site/ruins
button,2288,242,adventure,adventuring/mazes-and-traps,adventure
buzz,2709,100,adventure,the-human-body/senses,sense-perception/noise
cable,2327,200,adventure,adventuring/mazes-and-traps,sailing
call,5816,10857,adventure,,verb/quests
canoe,2333,110,adventure,adventuring/transport,sailing
capture,5870,1665,adventure,action/quest-verbs,verb/quests/vip
caravan,4091,932,adventure,,journey
cargo,4056,761,adventure,adventuring/transport,vehicle
carriage,4066,198,adventure,adventuring/transport,vehicle
cart,4061,538,adventure,adventuring/transport,vehicle
catacomb,919,138,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
cemetery,916,118,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
center,6242,3571,adventure,adventuring/mazes-and-traps,topology
champion,5174,2580,adventure,hook/epic-saga,narrative/epic
chariot,2456,274,adventure,adventuring/transport,mount-steed
chasm,2465,397,adventure,adventuring/mazes-and-traps,topology/pore
chime,2714,172,adventure,the-human-body/senses,sense-perception/noise
claimed,5853,573,adventure,action/quest-verbs,verb/quests
cleft,3963,152,adventure,adventuring/the-lonely-grave,topology/pore
click,2708,115,adventure,the-human-body/senses,sense-perception/noise
climb,5479,2996,adventure,adventuring/verbs,gameplay/positioning/locomotion
climber,4802,123,adventure,adventuring/mazes-and-traps,journey
clue,2893,1063,adventure,hook/mystery,puzzle
coach,4067,183,adventure,adventuring/transport,vehicle
coffin,2424,249,adventure,adventuring/mazes-and-traps,adventure-site/necropolis
collapse,3988,1425,adventure,adventure/hazard,adventure-site/ruins
come,5793,14405,adventure,adventuring/verbs,verb/quests/search
conquer,5827,699,adventure,action/quest-verbs,verb/quests
corner,6250,1603,adventure,adventuring/mazes-and-traps,topology
correctly,5576,166,adventure,hook/mystery,puzzle
corridor,2462,615,adventure,adventuring/mazes-and-traps,topology/pore
cough,2707,111,adventure,the-human-body/senses,sense-perception/noise
crack,2468,1032,adventure,adventuring/mazes-and-traps,topology/pore
crash,3989,1140,adventure,adventure/hazard,adventure-site/ruins
crawl,5862,711,adventure,adventuring/verbs,verb/locomotion
creak,2731,103,adventure,the-human-body/senses,sense-perception/noise
cross,5849,2196,adventure,adventure/navigation,verb/quests
crumble,4021,566,adventure,adventuring/the-lonely-grave,adventure-site/ruins
cry,2571,681,adventure,the-human-body/senses,sense-perception/noise/voice
cryptic,5578,205,adventure,hook/mystery,puzzle
cut,1002,2980,adventure,adventuring/verbs,verb/action
dart,2289,641,adventure,adventuring/mazes-and-traps,adventure
deactivate,3259,196,adventure,adventure/hazard,disabled
decipher,5577,237,adventure,hook/mystery,puzzle
declaration,1949,105,adventure,hook/epic-saga,narrative/epic
deed,5189,1026,adventure,hook/epic-saga,narrative/epic
defeat,5812,2984,adventure,action/quest-verbs,verb/quests
defend,5810,2146,adventure,,verb/quests
deliver,5798,1012,adventure,,verb/quests/search
delve,5799,639,adventure,adventuring/verbs,verb/quests/search
demise,1957,164,adventure,hook/epic-saga,narrative/epic
destination,6259,865,adventure,adventuring/the-lonely-grave,journey
destiny,5190,904,adventure,hook/epic-saga,narrative/epic
destroy,5811,2518,adventure,action/quest-verbs,verb/quests
destroyed,3990,3025,adventure,action/quest-verbs,adventure-site/ruins
detect,5640,2751,adventure,adventure/hazard,senses-perception
dig,5861,717,adventure,adventuring/verbs,verb/downward-motion
direction,6264,2521,adventure,the-human-body/senses,journey
disabled,2597,186,adventure,adventure/hazard,disabled
discharge,3260,240,adventure,adventure/hazard,disabled
discover,2877,2627,adventure,,puzzle
dismount,4791,114,adventure,the-human-body/senses,mount-steed
dispel,5637,1466,adventure,adventure/hazard,senses-perception
dive,3494,437,adventure,adventuring/verbs,locomotion
dock,4058,737,adventure,adventuring/transport,vehicle
doorway,2466,406,adventure,adventuring/mazes-and-traps,topology/pore
dormant,2601,175,adventure,adventuring/the-lonely-grave,disabled
down,6291,11102,adventure,adventure/navigation,spatial/prepositions
downfall,1946,113,adventure,hook/epic-saga,narrative/epic
drag,5857,751,adventure,adventuring/verbs,verb/locomotion
draw,5841,4147,adventure,adventuring/verbs,verb/quests
drawn,5842,1415,adventure,adventuring/verbs,verb/quests
drift,1022,526,adventure,adventuring/verbs,verb/downward-motion
drive,5843,2475,adventure,adventuring/verbs,verb/quests
driven,5844,1180,adventure,adventuring/verbs,verb/quests
drop,990,3276,adventure,adventuring/verbs,verb/action
drum,2712,237,adventure,the-human-body/senses,sense-perception/noise
dug,1019,172,adventure,adventuring/verbs,verb/downward-motion
edge,6244,3012,adventure,adventuring/mazes-and-traps,topology
elevator,2278,199,adventure,adventuring/mazes-and-traps,adventure
empty,3987,1724,adventure,adventuring/the-lonely-grave,adventure-site/ruins
endless,3996,756,adventure,adventuring/the-lonely-grave,adventure-site/ruins
enlightenment,1953,144,adventure,hook/epic-saga,narrative/epic
enormous,3992,781,adventure,adventuring/the-lonely-grave,adventure-site/ruins
enslave,5828,408,adventure,action/quest-verbs,verb/quests
epic,5177,1502,adventure,hook/epic-saga,narrative/epic
escape,5813,3694,adventure,action/quest-verbs,verb/quests
escort,5866,536,adventure,action/quest-verbs,verb/quests/vip
eternal,3997,656,adventure,hook/epic-saga,adventure-site/ruins
evidence,2894,935,adventure,hook/mystery,puzzle
explore,5804,2276,adventure,adventure/navigation,verb/quests/search
fall,997,7838,adventure,adventuring/verbs,verb/action
false,2884,966,adventure,hook/mystery,puzzle
fame,1975,244,adventure,hook/epic-saga,narrative/epic
fate,5181,3228,adventure,hook/epic-saga,narrative/epic
favor,5183,3386,adventure,hook/virtues-and-sins,narrative/epic
ferry,2318,150,adventure,adventuring/transport,sailing
find,5794,11784,adventure,,verb/quests/search
fissure,2463,180,adventure,adventuring/mazes-and-traps,topology/pore
fist,994,1285,adventure,adventuring/verbs,verb/action
flee,5835,1884,adventure,action/quest-verbs,verb/quests
flight,5482,1246,adventure,the-human-body/senses,gameplay/positioning/locomotion
fly,5481,5142,adventure,adventuring/verbs,gameplay/positioning/locomotion
footstep,2716,148,adventure,the-human-body/senses,sense-perception/noise
forbidden,4006,674,adventure,hook/mystery,adventure-site/ruins
forge,3984,2434,adventure,action/quest-verbs,adventure-site/ruins
forgotten,3985,1557,adventure,action/quest-verbs,adventure-site/ruins
forth,6275,1644,adventure,the-human-body/senses,spatial/prepositions
fortune,5186,1304,adventure,hook/epic-saga,narrative/epic
forward,6301,1372,adventure,adventure/navigation,spatial/prepositions
fought,5830,822,adventure,adventuring/verbs,verb/quests
